Index, Central Time, Arrival Calls (of 100000000)
0, 0.020000, 18062
1, 0.060000, 14744
2, 0.100000, 12217
3, 0.140000, 10099
4, 0.180000, 8373
5, 0.220000, 6741
6, 0.260000, 5484
7, 0.300000, 4567
8, 0.340000, 3682
9, 0.380000, 3052
10, 0.420000, 2433
11, 0.460000, 1957
12, 0.500000, 1626
13, 0.540000, 1318
14, 0.580000, 1159
15, 0.620000, 893
16, 0.660000, 715
17, 0.700000, 592
18, 0.740000, 498
19, 0.780000, 418
20, 0.820000, 303
21, 0.860000, 270
22, 0.900000, 221
23, 0.940000, 178
24, 0.980000, 782
